商品名,カテゴリー,税区分,販売総売上,構成比%,粗利総額,構成比%,販売商品数,構成比%,返品商品数,構成比%,商品ID,商品コード,バーコード
雑貨アイテム,その他,内税,218408,20.0,218408,20.0,40,9.2,3,42.9,10372,,
TM52W-221 5本指の香川の麻靴下,香川の靴下,内税,72600,6.7,72600,6.7,33,7.6,0,0.0,10182,,
TM62S-224 薄手の麻の靴下,シーズン靴下,内税,56100,5.1,56100,5.1,34,7.8,0,0.0,10136,,
TMSO-139 Sunrise Hemp socks,定番靴下,内税,55440,5.1,55440,5.1,29,6.6,1,14.3,10331,,
TM52W-222 足袋型の香川の麻靴下,香川の靴下,内税,46200,4.2,46200,4.2,22,5.0,1,14.3,10183,,
麻でできたネックウォーマー＋腹巻,腹巻,内税,39600,3.6,39600,3.6,8,1.8,0,0.0,10162,,
今治 TOWEL STOLE TUBAME,ストール,内税,35640,3.3,35640,3.3,9,2.1,0,0.0,10335,,
Summer Hemp Socks,定番靴下,内税,30800,2.8,30800,2.8,20,4.6,0,0.0,10252,,
TMSO-140 Campus 2lines Hemp socks,定番靴下,内税,27720,2.5,27720,2.5,14,3.2,0,0.0,10332,,
今治 STOLE TOWEL jacquard,ストール,内税,27720,2.5,27720,2.5,7,1.6,0,0.0,10236,,
TM62S-229 ハーフ切り替えの短い丈の麻の靴下,シーズン靴下,内税,26400,2.4,26400,2.4,16,3.7,0,0.0,10141,,
今治 STOLE TOWEL check,ストール,内税,23760,2.2,23760,2.2,6,1.4,0,0.0,10234,,
TM62S-226 何色もの糸を重ねた麻の靴下,シーズン靴下,内税,22440,2.1,22440,2.1,12,2.7,0,0.0,10138,,
Natural Hemp Socks,定番靴下,内税,21450,2.0,21450,2.0,14,3.2,1,14.3,10251,,
Natural Hemp Socks,シーズン靴下,内税,21120,1.9,21120,1.9,12,2.7,0,0.0,10340,,
今治 STOLE TOWEL paisley,ストール,内税,19800,1.8,19800,1.8,5,1.1,0,0.0,10237,,
今治 STOLE TOWEL dot,ストール,内税,19800,1.8,19800,1.8,5,1.1,0,0.0,10239,,
今治 KUBIMAKI TOWEL blueberry,ストール,内税,19800,1.8,19800,1.8,5,1.1,0,0.0,10246,,#4580335440666
Old School Hemp Socks,定番靴下,内税,17600,1.6,17600,1.6,10,2.3,0,0.0,10253,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,17600,1.6,17600,1.6,6,1.4,1,14.3,10278,,#4580335458807
TMSO-119 NEO 4Season Change Hemp Socks,定番靴下,内税,16500,1.5,16500,1.5,10,2.3,0,0.0,10330,,
TM52S-210 Slub yarn Hemp socks,シーズン靴下,内税,14080,1.3,14080,1.3,8,1.8,0,0.0,10193,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,14080,1.3,14080,1.3,4,0.9,0,0.0,10277,,#4580335458791
TM62S-227 3段の切り替えの麻の靴下,シーズン靴下,内税,13860,1.3,13860,1.3,7,1.6,0,0.0,10139,,
今治 STOLE TOWEL forest,ストール,内税,11880,1.1,11880,1.1,3,0.7,0,0.0,10235,,
今治 KUBIMAKI TOWEL raspberry,ストール,内税,11880,1.1,11880,1.1,3,0.7,0,0.0,10249,,#4580335456568
プレミアムインソール black S,インソール,内税,11880,1.1,11880,1.1,2,0.5,0,0.0,10287,,#4580335447504
TM42W-202 Back Side Pile Knit Cable Hemp Socks,シーズン靴下,内税,10560,1.0,10560,1.0,6,1.4,0,0.0,10228,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,10560,1.0,10560,1.0,3,0.7,0,0.0,10275,,#4580335458814
Toromso Aurora Marble Hemp socks,シーズン靴下,内税,9900,0.9,9900,0.9,5,1.1,0,0.0,10359,,
TM52S-208 Retro Hemp socks,シーズン靴下,内税,8800,0.8,8800,0.8,5,1.1,0,0.0,10191,,
TM62S-228 オーガニックコットンと麻の靴下,シーズン靴下,内税,7920,0.7,7920,0.7,4,0.9,0,0.0,10140,,
今治 KUBIMAKI TOWEL mustard,ストール,内税,7920,0.7,7920,0.7,2,0.5,0,0.0,10241,,#4580335440611
今治 KUBIMAKI TOWEL olive,ストール,内税,7920,0.7,7920,0.7,2,0.5,0,0.0,10245,,#4580335440659
今治 KUBIMAKI TOWEL L-green,ストール,内税,7920,0.7,7920,0.7,2,0.5,0,0.0,10250,,#4580335456575
TM52S-205 Candy Hemp socks,シーズン靴下,内税,7480,0.7,7480,0.7,4,0.9,0,0.0,10188,,
TM52S-211 Organic cotton heather color Hemp socks,シーズン靴下,内税,7040,0.6,7040,0.6,4,0.9,0,0.0,10194,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,7040,0.6,7040,0.6,2,0.5,0,0.0,10276,,#4580335458777
TM52W-213 たくさんの色を使った切り替え麻の靴下,シーズン靴下,内税,5940,0.5,5940,0.5,3,0.7,0,0.0,10166,,
プレミアムインソール black M,インソール,内税,5940,0.5,5940,0.5,1,0.2,0,0.0,10286,,#4580335447511
プレミアムインソール red L,インソール,内税,5940,0.5,5940,0.5,1,0.2,0,0.0,10319,,#4580335453550
プレミアムインソール red M,インソール,内税,5940,0.5,5940,0.5,1,0.2,0,0.0,10320,,#4580335453543
5本指の香川の麻靴下,香川の靴下,内税,4400,0.4,4400,0.4,2,0.5,0,0.0,10231,,
OUTDOOR ROPE KNIT WATCH CAP BLACK WHITE,帽子,内税,4180,0.4,4180,0.4,1,0.2,0,0.0,10350,,
今治 STOLE TOWEL block,ストール,内税,3960,0.4,3960,0.4,1,0.2,0,0.0,10233,,
今治 STOLE TOWEL circle,ストール,内税,3960,0.4,3960,0.4,1,0.2,0,0.0,10238,,
今治 KUBIMAKI TOWEL L-blue,ストール,内税,3960,0.4,3960,0.4,1,0.2,0,0.0,10247,,#4580335456544
今治 TOWEL STOLE RANDOM STRIPE,ストール,内税,3960,0.4,3960,0.4,1,0.2,0,0.0,10336,,
今治 TOWEL STOLE CIRCLE,ストール,内税,3960,0.4,3960,0.4,1,0.2,0,0.0,10338,,
TM62S-223 つま先とかかとの引き揃え糸の麻の靴下,シーズン靴下,内税,3740,0.3,3740,0.3,2,0.5,0,0.0,10134,,
TM62S-223 つま先とかかとの引き揃え糸の 麻の靴下,シーズン靴下,内税,3740,0.3,3740,0.3,2,0.5,0,0.0,10135,,
撥水ポンチョ,ストール,内税,3520,0.3,3520,0.3,1,0.2,0,0.0,10017,,
香川で編んだ麻のアームカバー AMU ARM COVER-standard,アパレルウェア,内税,3520,0.3,3520,0.3,1,0.2,0,0.0,10279,,#4580335458784
TM52S-209 For sneaker mix yarn Hemp socks,シーズン靴下,内税,3300,0.3,3300,0.3,2,0.5,0,0.0,10192,,
TM52S-212 Mix yarn Hemp socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10195,,
TM42W-199 Slub Hemp Socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10214,,
TM42W-200 Mix Hemp Socks,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10215,,
ニーソックス,シーズン靴下,内税,1980,0.2,1980,0.2,1,0.2,0,0.0,10224,,
TM52S-206 Mixed yarn switching Hemp socks,シーズン靴下,内税,1870,0.2,1870,0.2,1,0.2,0,0.0,10189,,
TM62S-225 重ね履き風で短い丈の麻の靴下,シーズン靴下,内税,1650,0.2,1650,0.2,1,0.2,0,0.0,10137,,
Rainbow Organic Cotton Hemp socks,シーズン靴下,内税,1540,0.1,1540,0.1,1,0.2,0,0.0,10342,,
レジ袋,紙袋,内税,500,0.0,500,0.0,25,5.7,0,0.0,10034,,
